inicio_operaciones,clave_presupuestal,fecha_inicio_operaciones,region,entidad,unidad
2026-04-15 10:43:04,160614012151,1982-11-25,Centro,Estado de México,HGZ 58 Las Margaritas
2026-04-15 10:45:21,36A131322153,2026-04-08,Centro,Ciudad de México,BS CMN La Raza
2026-04-15 10:50:30,36A131322153,2026-04-01,Centro,Ciudad de México,BS CMN La Raza
2026-04-15 10:50:37,36A131322153,2026-04-01,Centro,Ciudad de México,BS CMN La Raza
2026-04-15 10:51:58,36A131322153,2026-04-01,Centro,Ciudad de México,BS CMN La Raza
2026-04-15 10:52:16,36A131322153,2026-04-01,Centro,Ciudad de México,BS CMN La Raza
2026-04-15 10:53:00,110506022151,2026-04-03,Centro,Guanajuato,HGZMF 2 Irapuato
2026-04-15 10:55:58,36A131322153,2026-04-01,Centro,Ciudad de México,BS CMN La Raza
2026-04-15 11:13:06,36A131322153,2026-04-01,Centro,Ciudad de México,BS CMN La Raza
